LATITUD,LONGITUD,ACTIVIDAD,TIPO,FECHA
-16.98247657,-71.79547395,Minería,ITS,29/12/2017
-4.4617,-81.2866,Hidrocarburos,ITS,3/11/2016
-4.88373171,-74.94230506,Hidrocarburos,ITS,26/03/2019
-12.0452,-77.1323,Minería,ITS,28/03/2019
-12.57526094,-74.38994526,Minería,ITS,9/09/2019
-15.27492198,-72.34836713,Minería,ITS,16/08/2019
-4.9092574,-81.05366671,Hidrocarburos,Clasificación,23/10/2019
-3.64086648,-73.21923662,Electricidad,ITS,31/10/2018
-7.59499228,-78.88960244,Transportes,Clasificación,9/08/2018
-10.45685434,-76.74397015,Minería,MEIA-d,24/09/2018
-7.77450113,-77.58911291,Minería,ITS,28/03/2019
-8.22352494,-77.79365248,Minería,ITS,1/04/2019
-12.39202775,-74.9788315,Minería,Clasificación,17/04/2019
-10.75828603,-76.27104119,Minería,ITS,10/04/2019
-17.49468537,-71.35692056,Minería,ITS,26/04/2019
-15.65185783,-71.84656284,Electricidad,Clasificación,14/07/2020
-13.15209764,-70.39899865,Minería,ITS,18/08/2020
-6.12363936,-76.90296067,Transportes,ITS,10/03/2020
-13.65938825,-71.36089926,Transportes,ITS,2/06/2020
-9.90868177,-77.15682319,Agricultura,Clasificación,22/07/2019
-12.01927739,-76.95032765,Transportes,Clasificación,23/07/2019
-9.28966138,-75.99279245,Electricidad,ITS,10/05/2019
-12.50225678,-74.99228473,Transportes,Clasificación,4/04/2019
-8.18470093,-76.50991198,Electricidad,ITS,29/04/2019
-15.8311,-70.0508,Electricidad,ITS,18/01/2016
-15.27020579,-75.16466209,Minería,ITS,27/02/2020
-14.58986452,-69.38993459,Minería,ITS,12/09/2018
-7.9445874,-78.24752834,Minería,ITS,27/09/2018
-6.7658,-78.6297,Minería,MEIA-d,17/12/2018
-12.94399997,-74.80457437,Minería,ITS,26/04/2019
-17.00504958,-72.09902547,Minería,ITS,3/01/2020
-5.97675665,-79.20571504,Transportes,ITS,24/07/2019
-6.02150556,-78.97596135,Transportes,ITS,25/07/2019
-6.7919397,-79.83084656,Transportes,Clasificación,23/07/2018
-6.00821737,-78.85800693,Transportes,ITS,25/07/2018
-9.41147478,-77.09946566,Transportes,Clasificación,9/08/2018
-11.59644155,-76.13276867,Minería,ITS,20/12/2016
-8.80356492,-77.84703518,Electricidad,ITS,18/07/2017
-16.51871612,-72.44944156,Residuos Sólidos,EIA-sd,20/09/2018
-10.6964,-76.388,Minería,ITS,18/05/2018
-14.5045748,-75.47462657,Electricidad,Clasificación,4/06/2018
-12.9354,-74.8018,Minería,ITS,1/12/2017
-4.90971951,-81.11821108,Hidrocarburos,ITS,29/08/2018
-6.50224472,-76.38889557,Transportes,ITS,10/07/2019
-5.97043324,-78.8508127,Transportes,ITS,3/03/2020
-17.2892,-70.6509,Electricidad,MEIA-d,23/12/2016
-13.5767,-70.4367,Electricidad,ITS,9/04/2018
-16.3973,-71.7152,Agricultura,Clasificación,19/04/2018
-11.5929,-76.1269,Minería,ITS,27/04/2018
-13.39067752,-72.06715109,Transportes,ITS,5/03/2020
-14.72682934,-73.17972761,Minería,ITS,9/09/2018
-10.44032012,-76.28201664,Minería,ITS,15/11/2017
-11.19476065,-76.51995523,Minería,ITS,21/11/2017
-11.62895294,-76.23282912,Minería,ITS,21/11/2017
-10.7663,-76.2856,Minería,ITS,1/03/2018
-3.6398625,-73.21950763,Hidrocarburos,ITS,2/05/2017
-14.2296,-70.3254,Minería,MEIA-d,14/09/2016
-6.6543,-75.5069,Hidrocarburos,Clasificación,28/09/2016
-4.536,-81.2669,Electricidad,ITS,16/05/2016
-5.92930068,-80.53176013,Electricidad,ITS,27/01/2017
-13.7705,-76.229,Hidrocarburos,ITS,17/05/2016
-16.55320085,-71.590166,Minería,ITS,26/01/2017
-8.0457,-77.4513,Minería,ITS,14/10/2016
-12.20313365,-76.91203812,Electricidad,ITS,7/07/2017
-13.57665682,-70.43665613,Electricidad,ITS,13/07/2017
-14.22933763,-70.32579678,Minería,ITS,27/07/2019
-11.0292,-76.4285,Minería,MEIA-d,3/09/2018
